###############################################################################
#                                                                             #
#                             Common misspellings                             #
#                                                                             #
###############################################################################

absence         absense, absance
acceptable      acceptible
accidentally    accidentaly
accommodate     acomodate, accomodate, acommodate
achieve         acheive
acknowledge     acknowlege, aknowledge, acnowledge
acknowledgment  acknowlegment, acknowlegement
acquaintance    acquaintence, aquaintance
acquire         aquire, adquire
acquit          aquit
acreage         acrage, acerage
address         adress
adultery        adultary
advisable       adviseable, advizable
aggression      agression, aggresion
alcohol         alchohol
allege          alege, allage
allegiance      allegaince, allegience, alegiance
almost          allmost
amateur         amatuer, amature
amend           ammend
annually        anually, annualy
apparent        apparant, aparent
argument        arguement, arguemant, arguemint
atheist         athiest
average         avrage, averege
awful           awfull, aweful
because         becuase
becoming        becomeing
beginning       begining
believe         beleive
bellwether      bellweather
buoy            bouy
buoyant         bouyant
burglar         burgler
business        bisness, bussiness, bizness, buisness
camouflage      camoflage, camoflague
caribbean       carribean
category        catagory
caught          cauhgt, caugt
cemetery        cemetary, cematery
changeable      changable
chief           cheif
colleague       collaegue, collegue
coming          comming
commitment      comitment, comitmment, comitmant
committed       commited, comitted
congratulate    congradulate
congratulations congrats, congradulations, congradulations
conscientious   consciencious
conscious       concious, consious
consensus       concensus, consencus, consenssus
controversy     contraversy
deceive         decieve
deductible      deductable, deductuble, deductabel
definite        definate, definit	
definitely      definitly, definately
dependent       dependant, depindant, dependunt
desperate       desparate
difference      diffrence
dilemma         dilema
disappoint      disapoint
disastrous      disasterous
drunkenness     drunkeness
dumbbell        dumbell
embarrass      embaras, embarass
equipment       equiptment
exceed          excede
exhilarate      exilerate
existence       existance, existanse, existanc
experience      experiance
extreme         extreem
fascinating     facinating
fiery           firey
fluorescent     flourescent
following       followign
foreign         foriegn
foreword        foreward, forword, forworde
friend          freind
fulfill         fullfil
gauge           guage
grateful        gratefull, greatful
guarantee       garantee, garentee, garanty
guidance        guidence
harass          haras, harrass, herrass
height          heigth
hierarchy       heirarchy
humorous        humerous
hygiene         hygene, hygine, hiygeine, higeine, hygeine
hypocrite       hipocrit, hippocrite
ignorance       ignorence
imitate         immitate
immediately     imediately
inadvertent     inadvertant, inadvartant, inadvartent
independent     independant
indispensable   indispensabel, indispensible, indespensible
inoculate       innoculate
intelligence    inteligence, intelligance
jewelry         jewelery
judgment        judgement, judgemant, judgmant
leisure         liesure
liaison         liason, liasson, liasone
library         libary, liberry, libry
license         lisense, licens, lisence
maintenance     maintainance, maintnance
medieval        medeval, medevil, mideval, midevil
memento         momento
millennium      millenium, milennium
miniature       miniture
minuscule       miniscule
mischievous     mischievious, mischevous, mischevious
misspell        mispell, misspel
necessary       neccessary, necessery
neighbor        nieghbor
niece           neice
noticeable      noticable
occasionally    ocasionaly, occassionally
occasion        occassion, ocassion, ocasion
occurred        occured
occurrence      ocurrance, occurrance, occurance
